siteId,name,calory,carbo,protein,fat,fiber,activity1,activity2,activity3,activity4
269,برگ چغندر خام,19,2.9,1.8,0.2,1.6,2,2,5,4
274,ذرت بو داده /  پاپ کرن / پفیلا روغن کم,375,74,11,4.3,13,53,39,106,91
275,ذرت، خام,362,77.7,8.7,0.8,7,51,38,102,88
276,ذرت شیرین دانه خام,86,19,3.2,1.2,2.7,12,9,24,20
270,چغندر، پخته,44,10,1.7,0.2,2,6,4,12,10
271,برگ چغندر، پخته,20,3.2,1.9,0.1,1.6,2,2,5,4
278,ذرت شیرین دانه پخته در آب نمک,111,19.6,4.2,2.3,4.2,15,11,31,27
273,ذرت شیرین خشک,342,61.5,12.7,6.7,12.3,48,36,97,83
279,سیب زمینی خلال، سرخ شده در روغن ذرت,228,33.3,4.4,9.5,1.9,32,24,64,55
282,ریواس خام,21,4.5,0.9,0.2,1.8,2,2,5,5
281,ریحان خشک ساییده,233,47.8,23,4.1,37.7,33,24,66,56
277,آرد ذرت، الک نشده,353,71.5,9.3,3.8,3.9,50,37,100,86
283,ریواس به آرامی پخته با شکر,48,11.5,0.9,0.1,2,6,5,13,11
284,ریواس به آرامی پخته بدون شکر,7,0.7,0.9,0.1,2.1,0,0,1,1
285,زیتون در آب نمک وزن شده با هسته,82,0,0.7,8.8,3.2,11,8,23,20
286,سیب زمینی شیرین، پخته,84,20.5,1.1,0.3,2.1,11,8,23,20
280,ریحان تازه,23,2.7,3.2,0.6,1.6,3,2,6,5
289,شلغم خام,23,4.7,0.9,0.3,2.5,3,2,6,5
288,سیب زمینی خانگی سرخ شده ,189,30.1,3.9,6.7,3,26,20,53,46
290,شلغم، پخته,22,5.1,0.7,0.1,2,3,2,6,5
291,سس فلفل تند,26,1.7,1.6,1.5,0,3,2,7,6
292,فلفل قرمز یا تند ساییده,318,31.7,12,17.3,1.5,45,33,90,77
293,گاو گوشت سرخ شده با فلفل سبز,146,6,11.8,8.5,1,20,15,41,35
294,قارچ سفید خام,22,3.3,3.1,0.3,1,3,2,6,5
287,سیب زمینی، پخته,87,20.1,1.9,0.1,1.8,12,9,24,21
297,,,,,,,,,,
298,کدو خشک,249,25.5,25.6,5.7,10,35,26,70,60
300,کدو خورشتی (سبز) خام,17,3.1,1.2,0.3,1,2,1,4,4
301,تخمه کدو تنبل / نخمه کدو بدون پوست,571,10.7,32,50,7.1,81,60,162,139
295,قارچ خشک,159,4.8,21.8,6,27.8,22,16,45,38
302,,,,,,,,,,
296,کاهو خام,15,2.9,1.4,0.2,1.3,2,1,4,3
299,کدو حلوایی (تنبل),26,7,1,0.1,0.5,3,2,7,6
304,,,,,,,,,,
305,تخم کرفس,392,41,18.1,25,12,55,41,111,95
307,کلم خشک,237,38,15.4,3.6,26.2,33,25,67,57
308,کلم فندقی، بروکسل خام,43,9,3.4,0.3,3.8,6,4,12,10
309,گل کلم خام,25,5,1.9,0.9,2,3,2,7,6
303,کدو قلیایی، خام,17,3.3,0.8,0.1,1.7,2,1,4,4
310,کلم چینی خام,12,1.4,1,0.2,1,1,1,3,2
312,کلم قرمز، خام,21,3.7,1.1,0.3,3.1,2,2,5,5
311,کلم سفید خام,27,5,1.4,0.2,2.4,3,2,7,6
306,کرفس خام,16,3,0.7,0.2,1.6,2,1,4,3
313,کلم پیچ، خام,25,6,1.3,0.1,2.5,3,2,7,6
314,گل کلم پخته,28,2.1,2.9,0.9,1.6,3,2,7,6
316,کلم قرمز پخته,15,2.3,0.8,0.3,2.5,2,1,4,3
317,کلم بروکسل پخته,36,7.1,2.6,0.5,2.6,5,3,10,8
318,رب گوجه فرنگی,82,18.9,4.3,0.5,4.1,11,8,23,20
320,سس گوجه فرنگی مخصوص پاستا,47,6.9,2,1.5,1.5,6,5,13,11
321,سس کاری گوجه فرنگی و پیاز,198,6.1,1.7,19.1,1.3,28,21,56,48
322,گوجه فرنگی خشک شده در آفتاب,258,56,14,3,12,36,27,73,62
315,کلم سفید پخته,14,2.2,1,0.2,1.7,1,1,3,3
324,گوجه فرنگی سرخ شده ,91,5,0.7,7.7,2.8,12,9,25,22
325,هویج خام,41,9.6,0.9,0.2,2.8,5,4,11,10
319,گوجه فرنگی,18,3.9,0.9,0.2,1.2,2,1,5,4
328,زرد آلو آماده مصرف,158,36.5,4,0.6,18.1,22,16,44,38
323,گوجه فرنگی کباب شده,16,3.5,0.8,0.3,1.9,2,1,4,3
329,زرد آلو، پخته,27,6.2,0.7,0.1,1.6,3,2,7,6
331,آلو قرمز متوسط، پخته ,29,6.9,0.4,0.1,1.8,4,3,8,7
332,آناناس,50,13.1,0.5,0.1,1.4,7,5,14,12
326,هویج پخته,22,4.4,0.6,0.4,2.7,3,2,6,5
327,آلو (زرد و قرمز),46,11.4,0.7,0.3,1.4,6,4,13,11
333,آناناس خشک,276,67.8,2.5,1.3,8.8,39,29,78,67
335,آناناس کنسرو شده در آب آن,47,12.2,0.3,0,0.8,6,5,13,11
330,,,,,,,,,,
336,سس آواکادو مخصوص ماکارونی,128,2.2,1.4,12.7,3,18,13,36,31
337,انار، دان شده,83,18.7,1.7,1.2,4,11,8,23,20
339,,,,,,,,,,
